time,station_id,lng,lat,returned,current_capacity,total_capacity
2023-07-20 07:36:35,M32059,-71.087567,42.363693,0,15,18
2023-07-20 07:36:39,M32012,-71.105495,42.366426,0,9,17
2023-07-20 07:36:40,M32071,-71.085519,42.360859,1,30,27
2023-07-20 07:36:48,M32027,-71.086336,42.366088,1,22,19
2023-07-20 07:36:50,M32030,-71.1081,42.36178,0,13,19
2023-07-20 07:37:08,M32041,-71.101295,42.359573,1,17,19
2023-07-20 07:37:11,M32077,-71.076198,42.371141,0,21,23
2023-07-20 07:37:14,M32033,-71.139459,42.396105,1,23,23
2023-07-20 07:37:19,M32042,-71.103945,42.355601,0,48,53
2023-07-20 07:37:37,M32083,-71.08631,42.369036,0,16,19
2023-07-20 07:37:40,M32046,-71.142606,42.395588,1,21,19
2023-07-20 07:38:07,M32081,-71.086342,42.37308,0,15,19
2023-07-20 07:38:07,M32061,-71.096703,42.361358,1,19,16
2023-07-20 07:38:39,M32018,-71.118579,42.373268,1,23,19
2023-07-20 07:38:39,M32004,-71.084955,42.362428,0,16,23
2023-07-20 07:38:47,M32053,-71.080436,42.361619,1,20,19
2023-07-20 07:38:58,M32071,-71.085519,42.360859,1,31,27
2023-07-20 07:39:02,M32082,-71.082871,42.363045,1,20,19
2023-07-20 07:39:19,M32076,-71.108413,42.357662,0,12,15
2023-07-20 07:39:24,M32073,-71.109988,42.368952,0,16,19
2023-07-20 07:39:25,M32034,-71.069957,42.369885,1,24,23
2023-07-20 07:39:30,M32042,-71.103945,42.355601,1,49,53
2023-07-20 07:39:39,M32005,-71.091156,42.362131,0,39,35
2023-07-20 07:40:21,M32043,-71.133202,42.374786,1,21,19
2023-07-20 07:40:33,M32006,-71.093198,42.3581,0,32,27
2023-07-20 07:40:36,M32043,-71.133202,42.374786,1,22,19
2023-07-20 07:40:42,M32012,-71.105495,42.366426,0,8,17
2023-07-20 07:40:47,M32011,-71.1031,42.36507,1,28,19
2023-07-20 07:40:49,M32005,-71.091156,42.362131,1,40,35
2023-07-20 07:40:56,M32005,-71.091156,42.362131,1,41,35
2023-07-20 07:41:17,M32061,-71.096703,42.361358,1,20,16
2023-07-20 07:41:37,M32005,-71.091156,42.362131,1,42,35
2023-07-20 07:41:56,M32037,-71.08822,42.3625,0,18,19
2023-07-20 07:42:07,M32029,-71.119084,42.387995,0,13,19
2023-07-20 07:42:08,M32059,-71.087567,42.363693,0,14,18
2023-07-20 07:42:17,M32018,-71.118579,42.373268,1,24,19
2023-07-20 07:42:20,M32063,-71.099302,42.368605,1,20,19
2023-07-20 07:42:35,M32063,-71.099302,42.368605,0,19,19
2023-07-20 07:42:38,M32021,-71.114025,42.376369,0,15,15
2023-07-20 07:42:39,M32019,-71.076793,42.367074,0,14,15
2023-07-20 07:42:41,M32067,-71.089954,42.372077,0,16,19
2023-07-20 07:42:59,M32077,-71.076198,42.371141,0,20,23
2023-07-20 07:43:01,M32006,-71.093198,42.3581,1,33,27
2023-07-20 07:43:08,M32063,-71.099302,42.368605,1,20,19
2023-07-20 07:43:08,M32065,-71.08579,42.369553,0,19,19
2023-07-20 07:43:14,M32077,-71.076198,42.371141,0,19,23
2023-07-20 07:43:17,M32041,-71.101295,42.359573,1,18,19
2023-07-20 07:43:17,M32076,-71.108413,42.357662,0,11,15
2023-07-20 07:43:37,M32059,-71.087567,42.363693,1,15,18
2023-07-20 07:43:43,M32020,-71.119945,42.379011,1,23,19
